"crl.tot","dollar","bang","money","n000","make","yesno"
253,0.189,0.882,0,0.37,0,"y"
112,0.08,0,0,0,0,"n"
17,0,0.5,0,0,0,"y"
319,0,0.141,0,0,0,"n"
513,0.464,0.406,0,0.66,0.33,"y"
2049,0.157,0.502,0.08,0.42,0,"y"
491,0.036,0,0,0,0.12,"n"
354,0,0.07,0,0,0,"n"
137,0,0,0,0,0,"n"
67,0,0,0,0,0,"n"
244,0.031,0,0,0,0.23,"n"
166,0,0.492,0,0,0,"y"
66,0,0,0,0,0,"y"
6,0,0,0,0,0,"n"
1407,0.117,0.403,0.08,0.85,0.08,"y"
12,0,0,0,0,0,"n"
553,0.221,0.177,0.42,0,0,"y"
114,0,0,0,0,0,"n"
29,0,0.389,0,0,0,"n"
84,0,0.23,0,0,0,"y"
62,0,0.237,0,0,0,"n"
126,0,0,0,0,0,"y"
33,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
300,0,0.079,0,0,0,"n"
53,0,0,0,0,2,"n"
53,0,0,0,0,0,"n"
160,0,1.351,0,0,0,"y"
114,0,1.133,0,0,0,"y"
249,0,0.05,0,0,0,"n"
41,0,0,0,0.74,0.74,"n"
305,0.124,0.035,0,0.55,0,"y"
56,0,0,0,0,0,"y"
25,0,0.537,6.66,0,0,"y"
1361,0.071,0.071,0,0.04,0.04,"n"
37,0,0,0,0,0,"n"
1222,0.08,0.269,0,0.14,0,"y"
28,0,0,0,0,0,"n"
204,0,0,0,0.59,0,"y"
32,0,0,0,0,0,"n"
216,0,0.167,0,0,0.17,"n"
50,0,0.543,0,0,0,"y"
1057,0.02,0.352,0,0,0,"y"
65,0,0.484,0,0,0,"n"
65,0,0,0,0,0,"n"
29,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
3,0,0,0,0,0,"n"
1090,0.016,0,0,0,0.05,"n"
2218,0.486,0.324,0.46,0.46,0.35,"y"
61,0,0.15,0,0,0,"n"
16,0,0.952,0,0,0,"n"
59,0,0,0,0,0,"n"
46,0,0,0,0,0,"n"
77,0,0,0,0,0,"n"
79,0.416,0.208,0,1.11,0,"y"
47,0,0.338,0,0,0,"n"
5,0,0,0,0,0,"n"
34,0,0.809,0,0,0,"y"
157,0.242,1.089,0,1.36,0,"y"
127,0,0,0,0,0,"n"
282,0,0.147,0,0,0,"n"
83,0.176,0.176,0.51,0,1.03,"y"
41,0,0,0,0,0,"n"
1029,0.206,0.275,0.3,0.9,0.3,"y"
773,0.245,1.633,0,0,0.45,"y"
195,0,0,0,0,0,"n"
167,0,0.094,0,0,0,"n"
121,0.132,0.044,0,0,0,"n"
329,0,0,0,0,0,"n"
67,0,0.376,0,0,0,"n"
156,0,0,0,0,0,"n"
180,0,2.412,0,0,0,"y"
393,0.016,0,0,0,0,"n"
20,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
339,0,0.034,0,0,0,"y"
72,0,1.405,0,0,0,"y"
72,0,0,0,0,0,"n"
22,0,0,0,0,0,"n"
81,0,0.102,0,0,0,"n"
44,0.116,0,0,0,0,"n"
5,0,0,0,0,0,"n"
63,0,0,0,0,0,"n"
95,0,0,0,0,0,"n"
95,0,0,0,0,0,"n"
113,0,0.109,0,0,0,"y"
126,0,0,0,0,0,"n"
99,0,2.152,0,0,0,"y"
68,0,0,0,0,0,"n"
318,0,0.095,0.41,0.52,0.2,"y"
41,0,0,0,0,0,"n"
819,0.221,0.069,0.18,0.33,0.33,"y"
389,0,0.014,0,0,0.15,"n"
1349,0.101,0.858,0,0,0.32,"y"
9,0,0,0,0,0,"n"
112,0,0.056,0,0,0.67,"n"
166,0.272,0,0.4,1.62,0,"y"
46,0,0,0,0,0,"n"
1538,0.427,0.014,0,0,0.13,"n"
229,0.171,0.057,0,0.35,0,"y"
742,0.303,0.212,0,3.62,0.19,"y"
37,0,0,0,0,0,"n"
508,0,0.242,0,0,0,"y"
5,0,0,0,0,0,"n"
130,0,0,0,0,0,"n"
387,0,0.495,0,0,0,"y"
127,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
41,0,0,0,0,0,"n"
79,0,0,0,0,0,"n"
145,0,0.021,0,0,0.23,"n"
59,0,0.278,0,0,0,"y"
33,0,0,0,0,0,"n"
11,0,0,0,0,0,"n"
16,0,0.724,0,0,0,"n"
53,0,0,0,0,2,"n"
1334,0.105,0.899,0,0,0.34,"y"
76,0,0,0,0,0,"n"
15,0,0.787,0,0,0,"n"
69,0,0.667,0,0,0,"y"
896,0.016,0,0,0,0.05,"n"
74,0.304,0.101,0.6,0,0.6,"y"
27,0,0,0,0,0,"n"
432,0.063,0.021,0,0,0,"n"
168,0,0,0,0,0.71,"n"
435,0.182,0.136,0,0,0.27,"y"
9,0,0,0,0,0,"n"
48,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
3006,0,0.014,0,0,0.04,"n"
2258,0.046,0.25,0,0.05,0.05,"y"
9,0,0,0,0,0,"n"
356,0.181,0.604,0,0.36,0,"y"
611,0,0.376,0,0,0,"n"
8,0,1.282,0,0,0,"n"
9,0,0,0,0,0,"n"
36,0,0.352,0,0,0,"y"
56,0,0,0,0,0,"n"
73,0,0,0,0,0.71,"n"
184,0.211,0,0.3,0,0,"y"
9,0,0,0,0,0,"n"
583,0.118,0.054,0.2,0.15,0.05,"y"
97,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
45,0,0,0,0,0,"y"
28,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
53,0,0,0,0,2,"n"
263,0,0.107,0,0,0,"n"
129,0.313,0.313,0,0,0,"n"
35,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
79,0.207,0.207,0,0,0,"y"
84,0,1.344,0,0,0.89,"y"
49,0,0,0,0,0,"n"
48,0,0,0,0,0,"n"
3168,0.005,0.002,0,0.07,0.03,"n"
24,0,0,0,0,0,"n"
119,0.459,0.551,0,0.64,0.64,"y"
53,0,0,0,0,0,"y"
18,0,0,0,0,0,"n"
70,0.171,0,0,0,0,"y"
5,0,0,0,0,0,"n"
1339,0.242,0.256,0.17,0.95,0.17,"y"
227,0.04,0.489,0.27,0,0,"y"
46,0,0.371,0,0,0,"y"
31,0,0.485,0,0,0,"n"
39,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
63,0,0.253,0,0,0.76,"n"
875,0.016,0,0,0,0.05,"n"
124,0,0,0,0,0,"y"
49,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
38,0,0,0,0,0,"y"
9,0,0,0,0,0,"n"
80,0,0,0,0,0.18,"n"
139,0,0.08,0,0,0.28,"n"
139,0.158,0,0.32,0,0,"y"
190,0,0.024,0.13,0,0,"n"
7,0,0,0,0,0,"n"
817,0.065,0.785,0.2,0,0.1,"y"
6,0,0,0,0,0,"n"
86,0,0,0,0,0,"n"
344,5.3,0.904,0.82,0.41,1.24,"y"
4,0,0.632,0,0,0,"n"
477,0,0.21,0,0,0.14,"y"
1171,0.085,0.341,0.36,0,0.09,"y"
127,0,0.104,0,0,0,"n"
40,0,1.947,0,0,0,"y"
328,0,0.074,0,0,0,"n"
122,0,0,0,0,0.33,"n"
425,0,0,0,0,0,"y"
54,0,0,0,0,1.26,"n"
10,0,0,0,0,0,"n"
311,0,0.356,0,0,0.99,"y"
88,0,0,0,0,0,"n"
727,0.43,0.43,0.48,4.32,0,"y"
115,0,0,0,0,0,"y"
1509,0.191,0.42,0.11,0.59,0,"y"
45,0,0.251,0,0,0,"n"
413,0.141,0,0,0,0,"n"
81,0,0,0,0,0,"n"
8,0,0,0,0,0,"n"
311,0,0.059,0,0,0,"n"
20,0,0,0,0,0,"n"
32,0,0,0,0,0,"y"
566,0.011,0,0,0.08,0,"n"
54,0,0,0,0,0,"n"
104,0,0,0,0,0,"n"
196,0.03,0.36,0.32,0,0.08,"y"
16,0,0,0,0,0,"n"
373,0,0,0,0,0,"n"
95,0,0.178,0,0,0,"y"
2370,2.33,0.458,0.57,0.39,0.43,"y"
105,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
1643,0.164,0.413,0.6,0.44,0.32,"y"
129,0,0.37,0,0,0.81,"n"
1216,0.076,0.255,0,0.15,0,"y"
107,0,0,0,0,0,"n"
112,0,0,0,0,0,"n"
13,0,0.74,0,0,0,"n"
70,0,0,0,0,0,"n"
43,0,0.724,0,1.28,0,"y"
20,0,0,0,0,0,"n"
174,0,0.179,0,0,0,"y"
46,0,0,0,0,0,"n"
117,0,1.117,0,0,0,"y"
59,0,0.486,0,0,0,"y"
5,0,0,0,0,0,"n"
53,0,0,0,0,0,"n"
79,0.383,0.191,0,1.08,0,"y"
160,0.12,0.601,0.38,1.16,0,"y"
83,0.189,0.094,0,0,0,"n"
190,0.302,0,0,0.2,0,"y"
36,0,0.114,0,0,0,"n"
277,0,0.034,0,0,0,"y"
247,0.432,0.432,0,0.75,0,"y"
7,0,0,0,0,0,"n"
55,0,0,0,0,1.47,"n"
264,0,0,0,0,0,"y"
163,0,0.305,0,0,0,"y"
292,0.165,0.563,0,0,0,"y"
79,0.34,0.51,0,0,0,"y"
35,0,0.232,0,0,0,"n"
1478,0.134,0.43,0.18,0.55,0,"y"
479,0.202,0.101,0.96,0.72,0.6,"y"
238,0,0,0,0,0,"n"
108,0,0,0,0,0,"n"
195,0,0.043,0,0,0,"n"
90,0,0,0,0,0,"n"
70,0,0.441,0,0,0,"y"
441,0.167,0.01,0.06,0.85,0.18,"y"
3,0,0,0,0,0,"n"
164,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
171,0,0.077,0,0,0,"y"
71,0,0,0,0,0.34,"n"
24,0,0,0,0,0,"n"
10,0,0.704,0,0,0,"n"
121,0.273,0.91,0,0.56,0.56,"y"
578,0.496,0.451,0.54,0.27,0.27,"y"
286,0.285,0.122,0,0.48,0,"n"
104,0,0.238,0,0,0,"y"
600,0,0.017,0,0,0.11,"n"
78,0.188,0,0,0,0,"y"
31,0,0,0,0,0.4,"n"
46,0,0,0,0,0,"y"
34,0,0,0,0,0,"n"
26,0,0.11,0,0,0.7,"y"
44,0,0,0,0,0,"n"
159,0,0.156,0,0,0,"y"
1178,0.059,1.008,0,0,0.38,"y"
10,0,0,0,0,0,"n"
133,0,0.936,0,0,0,"y"
120,0,0,0,0,0,"n"
67,0,0.193,0,0,0,"y"
27,0,0.312,0,0,0,"n"
617,0.085,0,0,0,0,"n"
78,0,0.464,0,0,0,"y"
61,0,0.495,0,0.72,0,"y"
9,0,0,0,0,0,"n"
389,0.196,0.373,0.22,0,0.33,"y"
1131,0,0.013,0,0,0,"n"
28,0,0.366,0,0,0,"n"
96,0.063,0.379,0.34,0.34,1.04,"y"
2631,0.003,0.003,0,0,0.06,"n"
400,0,0,0,0,0,"y"
38,0,0,0,0,0,"n"
174,0.613,0,0,0,0,"y"
14,0,0,0,0,4.34,"n"
65,0,0,0,0,0,"n"
47,0,0,0,0,0,"n"
3271,0.018,0.112,0,0,0,"y"
1514,0.199,0.548,0.72,0.62,0.31,"y"
93,0,0.056,0,0,0.33,"n"
91,0,0,0,0,0,"n"
543,0.037,1.045,0,0,0,"y"
141,0.173,0.288,0,0.65,0.32,"y"
17,0,0,0,0,0,"n"
171,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
82,0.196,0.392,0,0,0,"y"
178,0,0.016,0,0,0,"n"
59,0.103,0.31,0,0,0,"n"
256,0.186,0.869,0,0.39,0,"y"
1232,0,0,0,0,0,"n"
152,0,0,0.24,0,0.24,"n"
119,0.194,0.129,0.42,0,0,"y"
608,0.197,0.474,0.27,0.13,0.4,"y"
500,0,0,0,0,0,"n"
38,0,0,0,0,0,"n"
120,0.134,0.044,0,0,0,"n"
60,0,0,0,0,0.95,"n"
38,0,0,0,0,0,"y"
8,0,0,0,0,0,"n"
4,0,0,0,0,0,"n"
237,0,0.039,0,0,0.77,"n"
33,0,0,0,0,0,"n"
74,0.069,0,0,0,0,"n"
167,0,0.049,0,0,0,"n"
356,0.181,0.604,0,0.36,0,"y"
414,0,0,0,0,0.17,"y"
100,0,0,0,0,0,"n"
70,0,0,0,0,0,"n"
576,0.037,1.362,0.23,0,0,"y"
141,0,0,0,0,0.39,"n"
104,0,0,0,0,0,"n"
107,0,0,0,0,0,"n"
297,0.03,0,0,0.06,0.19,"n"
39,0,0.275,0,0,0,"n"
4,0,0,0,0,0,"n"
118,0,0.042,0,0.25,0,"n"
38,0,0,0,0,0,"y"
27,0,0.239,0,0,0,"n"
106,0,1.492,0,0,0,"y"
1426,0.16,0.336,0.2,0.4,0.1,"y"
144,0.163,0,0.31,0,0,"y"
285,0.036,0.841,0.23,0,0,"y"
141,0,0,0,0,0,"n"
140,0,0,0,0,0,"n"
168,0,0.462,0,0.79,0,"y"
607,0.185,0,0,0,0,"y"
132,0,0,0,0,0,"n"
27,0,0.24,0,0,0,"n"
571,0,0.862,0,0,0,"y"
29,0,0,0,0,0,"n"
186,0.496,0.055,0.63,0.31,0,"y"
96,0.048,0.048,0,0,0,"y"
64,0,0,0,0,0,"n"
175,0,0.045,0,0,0,"n"
3271,0.017,0.107,0,0,0,"y"
98,0,0.082,0,0,0,"n"
418,0,0.06,0,0,0.35,"n"
130,0,1.443,0,0,0,"y"
5,0,0,0,0,0,"n"
132,0,2.413,0,0,0.67,"y"
33,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
38,0,0,0,0,0,"n"
31,0.265,0,0.8,0,0,"n"
189,0,0,0,0,0,"n"
490,0.029,0,0,0,0.1,"n"
74,0.192,0.64,0.79,1.18,0.39,"y"
133,0,0,0,0,0,"n"
239,0,0.694,0,0.47,0,"y"
86,0,0,0,0,0.66,"n"
126,0,0,0,0,0,"y"
84,0,0,0,0,0,"n"
112,0.111,0,0,0,0,"y"
6,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
91,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
188,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
30,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
74,0,0,0,0,0,"n"
116,0,0.063,0,0,0,"n"
1066,0.234,0.437,0.75,0.44,0.75,"y"
240,0.032,0,0,0,0,"y"
11,0,0,0,0,0,"n"
13,0,0.925,0,0,0,"n"
126,0,0.24,0,0,0,"n"
709,0.032,0,0,0,0.08,"n"
79,0,0,0,0,0,"n"
289,0,0.162,0,0,0,"n"
87,0,0,0,0,0,"y"
207,0.116,0.116,0,0,0,"y"
49,0,0,0,0,0,"y"
85,0,0.124,0,0,0,"n"
167,0.331,0,0,0,0,"n"
68,0,0.212,0,0,0.59,"n"
113,0,0,0,0,0,"n"
164,0.979,0.445,0.5,0.5,0,"y"
675,0.056,0.131,0.81,0,0.23,"y"
76,0,0,0,0,0.89,"n"
125,0,0,0,0,0,"n"
226,0.207,0.207,0.61,0.3,0.3,"y"
290,0,0.079,0,0,0.16,"n"
108,0,0.054,0,0,0,"n"
105,0,0.52,0,0,0,"y"
36,0,0,0,0,0,"n"
645,0.033,0,0,0,0.12,"n"
25,0,0.018,0,0,0,"n"
30,0,0,0,0,0,"n"
309,0,0.274,0,0,0,"y"
1028,0.396,0.974,0.3,0,0.1,"y"
35,0,0.146,0,0,0,"y"
1042,0.396,0.975,0.3,0,0.1,"y"
9,0,0,0,0,0,"n"
628,0.033,0,0,0,0.08,"n"
1428,0.156,0.297,0.2,0.4,0.1,"y"
3,0,0,0,0,0,"n"
1254,0.038,0.406,0,0,0.08,"y"
81,0.189,0.189,0,0,0,"y"
42,0,0,0,0,0.25,"n"
9,0,0,0,0,0,"n"
42,0,0,0,0,0,"n"
142,0.105,0.157,0,0.34,0,"y"
186,0.21,0,0.3,0,0,"y"
255,0,0,0,0,0.41,"y"
194,0.349,1.135,0,0,0,"y"
7,0,0,0,0,0,"n"
37,0,0.476,0,0,0,"n"
774,0.068,1.318,0.3,0,0.15,"y"
5,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
474,0,0.19,0,0,0,"y"
35,0,0,0,0,0,"y"
31,0,0,0,0,0,"y"
1375,0.243,0.271,0.17,0.95,0.17,"y"
165,0.027,0.622,0.32,0,0.16,"y"
99,0,0.123,0.38,0,0,"y"
4,0,0,0,0,0,"n"
707,0.009,0,0,0.07,0,"n"
95,0,1.094,0,0,0,"y"
966,0.312,0.768,0.7,0.07,0.49,"y"
5,0,0,0,0,0,"n"
234,0,0,0,0,0,"y"
157,0.868,2.894,0,0,0,"y"
344,0,0,0,0,0.43,"n"
24,0,0,0,0,0,"n"
965,0.022,0,0.02,0.37,0.07,"y"
160,0.062,0.621,0,0,0,"y"
4,0,3.571,0,0,0,"n"
651,0,0,0,0,0,"n"
667,0.021,0.414,1.46,0,0.66,"y"
393,0.052,0,0,0,0,"n"
162,0,0,0,0.11,0.23,"n"
